Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
Easy-to-Learn_Margin,Easy-to-Learn,Margin,41.0,40.0,41.0,41.0,41.0,54.0,44.0,54.0,57.99999999999999,66.0,65.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,41.0,40.0,41.0,41.0,41.0,63.0,65.0,67.0,72.0,74.0,75.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,41.0,40.0,41.0,41.0,51.0,54.0,61.0,69.0,64.0,67.0,71.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,41.0,40.0,41.0,41.0,41.0,56.00000000000001,50.0,56.00000000000001,66.0,71.0,80.0
Consistency_Margin,Consistency,Margin,66.0,79.0,78.0,79.0,83.0,81.0,78.0,79.0,73.0,77.0,73.0
Consistency_Margin,Consistency,Margin,66.0,75.0,77.0,74.0,83.0,80.0,88.0,88.0,86.0,87.0,89.0
Consistency_Margin,Consistency,Margin,66.0,67.0,78.0,80.0,83.0,86.0,86.0,79.0,83.0,83.0,79.0
Consistency_Margin,Consistency,Margin,66.0,68.0,77.0,80.0,82.0,86.0,84.0,84.0,83.0,83.0,81.0
Consistency_Margin,Consistency,Margin,66.0,78.0,78.0,81.0,82.0,84.0,86.0,83.0,86.0,85.0,86.0
Entropy_Margin,Entropy,Margin,51.0,57.99999999999999,56.00000000000001,72.0,72.0,86.0,84.0,82.0,78.0,76.0,74.0
Entropy_Margin,Entropy,Margin,51.0,61.0,60.0,57.99999999999999,69.0,70.0,68.0,78.0,83.0,83.0,86.0
Entropy_Margin,Entropy,Margin,51.0,42.0,53.0,56.00000000000001,63.0,62.0,65.0,76.0,78.0,79.0,80.0
Entropy_Margin,Entropy,Margin,51.0,56.99999999999999,70.0,53.0,62.0,64.0,66.0,68.0,81.0,82.0,76.0
Entropy_Margin,Entropy,Margin,51.0,55.00000000000001,56.99999999999999,74.0,80.0,76.0,80.0,81.0,82.0,82.0,85.0
Margin_Margin,Margin,Margin,67.0,67.0,70.0,77.0,82.0,84.0,79.0,83.0,83.0,81.0,83.0
Margin_Margin,Margin,Margin,67.0,83.0,81.0,82.0,84.0,83.0,83.0,84.0,85.0,86.0,85.0
Margin_Margin,Margin,Margin,67.0,76.0,75.0,76.0,85.0,83.0,85.0,85.0,89.0,86.0,86.0
Margin_Margin,Margin,Margin,67.0,77.0,75.0,87.0,86.0,87.0,85.0,83.0,81.0,86.0,85.0
Margin_Margin,Margin,Margin,67.0,73.0,78.0,87.0,86.0,86.0,88.0,87.0,88.0,85.0,83.0
BALD_Margin,BALD,Margin,43.0,56.00000000000001,56.00000000000001,54.0,64.0,71.0,74.0,82.0,78.0,82.0,83.0
BALD_Margin,BALD,Margin,43.0,52.0,60.0,70.0,72.0,73.0,79.0,86.0,85.0,83.0,80.0
BALD_Margin,BALD,Margin,43.0,55.00000000000001,57.99999999999999,65.0,72.0,70.0,66.0,71.0,76.0,85.0,82.0
BALD_Margin,BALD,Margin,43.0,53.0,56.00000000000001,61.0,64.0,68.0,65.0,75.0,74.0,77.0,80.0
BALD_Margin,BALD,Margin,43.0,52.0,64.0,65.0,78.0,82.0,85.0,76.0,84.0,84.0,77.0
VAAL_Margin,VAAL,Margin,49.0,50.0,72.0,76.0,79.0,78.0,79.0,81.0,78.0,86.0,81.0
VAAL_Margin,VAAL,Margin,49.0,57.99999999999999,68.0,72.0,78.0,83.0,82.0,83.0,83.0,86.0,86.0
VAAL_Margin,VAAL,Margin,49.0,63.0,73.0,78.0,78.0,79.0,80.0,82.0,82.0,84.0,84.0
VAAL_Margin,VAAL,Margin,49.0,64.0,61.0,56.99999999999999,78.0,78.0,77.0,81.0,84.0,85.0,88.0
VAAL_Margin,VAAL,Margin,49.0,52.0,68.0,68.0,71.0,79.0,71.0,72.0,76.0,76.0,80.0
Coreset_Margin,Coreset,Margin,66.0,73.0,81.0,80.0,83.0,83.0,82.0,84.0,87.0,83.0,85.0
Coreset_Margin,Coreset,Margin,66.0,73.0,77.0,80.0,84.0,89.0,88.0,88.0,85.0,88.0,88.0
Coreset_Margin,Coreset,Margin,66.0,75.0,78.0,79.0,82.0,82.0,83.0,85.0,85.0,84.0,85.0
Coreset_Margin,Coreset,Margin,66.0,74.0,81.0,76.0,83.0,80.0,81.0,83.0,83.0,83.0,83.0
Coreset_Margin,Coreset,Margin,66.0,78.0,76.0,80.0,84.0,83.0,83.0,84.0,83.0,88.0,88.0
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,80.0,84.0,80.0,83.0,88.0,85.0,80.0,82.0,84.0,83.0,86.0
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,80.0,83.0,84.0,83.0,84.0,83.0,83.0,80.0,81.0,79.0,79.0
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,80.0,79.0,82.0,84.0,82.0,79.0,83.0,84.0,87.0,88.0,86.0
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,80.0,83.0,81.0,83.0,83.0,81.0,83.0,87.0,85.0,86.0,85.0
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,80.0,81.0,85.0,82.0,85.0,85.0,87.0,85.0,84.0,88.0,85.0
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,66.0,61.0,67.0,67.0,70.0,70.0,76.0,78.0,80.0,81.0,79.0
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,66.0,72.0,67.0,60.0,63.0,62.0,65.0,61.0,61.0,68.0,78.0
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,66.0,57.99999999999999,63.0,61.0,60.0,59.0,64.0,67.0,71.0,68.0,72.0
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,66.0,67.0,64.0,65.0,64.0,69.0,65.0,68.0,68.0,64.0,68.0
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,66.0,75.0,67.0,77.0,74.0,79.0,73.0,77.0,78.0,79.0,80.0
Easy-to-Learn_BALD,Easy-to-Learn,BALD,41.0,41.0,55.00000000000001,56.99999999999999,66.0,57.99999999999999,64.0,71.0,70.0,73.0,71.0
Easy-to-Learn_BALD,Easy-to-Learn,BALD,41.0,41.0,41.0,60.0,62.0,64.0,62.0,71.0,76.0,79.0,73.0
Easy-to-Learn_BALD,Easy-to-Learn,BALD,41.0,41.0,41.0,55.00000000000001,57.99999999999999,56.00000000000001,56.99999999999999,59.0,64.0,69.0,73.0
Easy-to-Learn_BALD,Easy-to-Learn,BALD,41.0,41.0,41.0,50.0,62.0,69.0,67.0,73.0,74.0,72.0,72.0
Easy-to-Learn_BALD,Easy-to-Learn,BALD,41.0,41.0,41.0,53.0,56.00000000000001,56.99999999999999,63.0,67.0,71.0,73.0,71.0
Consistency_BALD,Consistency,BALD,66.0,70.0,66.0,67.0,74.0,76.0,76.0,73.0,76.0,78.0,79.0
Consistency_BALD,Consistency,BALD,66.0,71.0,70.0,70.0,70.0,70.0,77.0,72.0,73.0,71.0,75.0
Consistency_BALD,Consistency,BALD,66.0,61.0,64.0,71.0,74.0,75.0,75.0,76.0,67.0,73.0,70.0
