Method,Init_Method,AL_Method,Episode,TestAccuracy
Coreset_Random,Coreset,Random,40,68.84
Coreset_Random,Coreset,Random,50,68.37
Coreset_Random,Coreset,Random,60,73.78
Coreset_Random,Coreset,Random,70,72.93
Coreset_Random,Coreset,Random,80,74.71
Coreset_Random,Coreset,Random,90,76.44
Coreset_Random,Coreset,Random,100,74.8
Coreset_Random,Coreset,Random,110,77.43
Coreset_Random,Coreset,Random,10,36.6
Coreset_Random,Coreset,Random,20,42.68
Coreset_Random,Coreset,Random,30,51.45
Coreset_Random,Coreset,Random,40,55.19
Coreset_Random,Coreset,Random,50,56.07
Coreset_Random,Coreset,Random,60,58.78
Coreset_Random,Coreset,Random,70,61.85
Coreset_Random,Coreset,Random,80,72.11
Coreset_Random,Coreset,Random,90,71.59
Coreset_Random,Coreset,Random,100,75.07
Coreset_Random,Coreset,Random,110,76.32
Coreset_Random,Coreset,Random,10,36.6
Coreset_Random,Coreset,Random,20,56.18
Coreset_Random,Coreset,Random,30,65.16
Coreset_Random,Coreset,Random,40,69.1
Coreset_Random,Coreset,Random,50,70.83
Coreset_Random,Coreset,Random,60,72.93
Coreset_Random,Coreset,Random,70,73.66
Coreset_Random,Coreset,Random,80,75.65
Coreset_Random,Coreset,Random,90,76.76
Coreset_Random,Coreset,Random,100,79.01
Coreset_Random,Coreset,Random,110,77.61
Coreset_Random,Coreset,Random,10,36.6
Coreset_Random,Coreset,Random,20,46.86
Coreset_Random,Coreset,Random,30,68.55
Coreset_Random,Coreset,Random,40,70.59
Coreset_Random,Coreset,Random,50,72.26
Coreset_Random,Coreset,Random,60,72.0
Coreset_Random,Coreset,Random,70,74.83
Coreset_Random,Coreset,Random,80,76.47
Coreset_Random,Coreset,Random,90,78.11
Coreset_Random,Coreset,Random,100,77.43
Coreset_Random,Coreset,Random,110,77.52
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,10,63.08
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,20,64.13
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,30,64.81
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,40,73.87
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,50,73.78
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,10,63.08
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,20,62.38
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,30,64.6
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,40,69.77
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,50,71.06
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,10,63.08
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,20,61.85
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,30,66.94
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,40,71.44
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,50,70.86
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,10,63.08
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,20,60.63
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,30,63.49
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,40,70.83
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,50,74.19
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,60,70.33
