Method,Init_Method,AL_Method,Episode,TestAccuracy
Margin_Random,Margin,Random,10,26.26
Margin_Random,Margin,Random,20,39.96
Margin_Random,Margin,Random,30,47.99
Margin_Random,Margin,Random,40,51.16
Margin_Random,Margin,Random,50,57.54
Margin_Random,Margin,Random,60,58.34
Margin_Random,Margin,Random,70,59.89
Margin_Random,Margin,Random,80,60.22
Margin_Random,Margin,Random,90,62.49
Margin_Random,Margin,Random,100,62.87
Margin_Random,Margin,Random,110,62.71
Margin_Random,Margin,Random,10,26.26
Margin_Random,Margin,Random,20,41.05
Margin_Random,Margin,Random,30,45.06
Margin_Random,Margin,Random,40,48.98
Margin_Random,Margin,Random,50,53.99
Margin_Random,Margin,Random,60,54.66
Margin_Random,Margin,Random,70,55.75
Margin_Random,Margin,Random,80,58.18
Margin_Random,Margin,Random,90,59.41
Margin_Random,Margin,Random,100,59.96
Margin_Random,Margin,Random,110,60.52
Margin_Random,Margin,Random,10,26.26
Margin_Random,Margin,Random,20,38.54
Margin_Random,Margin,Random,30,46.18
Margin_Random,Margin,Random,40,51.02
Margin_Random,Margin,Random,50,53.71
Margin_Random,Margin,Random,60,55.89
Margin_Random,Margin,Random,70,56.58
Margin_Random,Margin,Random,80,60.36
Margin_Random,Margin,Random,90,63.39
Margin_Random,Margin,Random,100,63.67
Margin_Random,Margin,Random,110,64.54
Margin_Random,Margin,Random,10,26.26
Margin_Random,Margin,Random,20,31.67
Margin_Random,Margin,Random,30,46.75
Margin_Random,Margin,Random,40,49.26
Margin_Random,Margin,Random,50,53.74
Margin_Random,Margin,Random,60,60.25
Margin_Random,Margin,Random,70,62.25
Margin_Random,Margin,Random,80,60.4
Margin_Random,Margin,Random,90,63.83
Margin_Random,Margin,Random,100,62.89
Margin_Random,Margin,Random,110,65.74
BALD_Random,BALD,Random,10,25.33
BALD_Random,BALD,Random,20,35.49
BALD_Random,BALD,Random,30,42.89
BALD_Random,BALD,Random,40,49.13
BALD_Random,BALD,Random,50,49.6
BALD_Random,BALD,Random,60,57.41
BALD_Random,BALD,Random,70,59.2
BALD_Random,BALD,Random,80,60.83
BALD_Random,BALD,Random,90,59.12
BALD_Random,BALD,Random,100,60.98
BALD_Random,BALD,Random,110,61.07
BALD_Random,BALD,Random,10,25.33
BALD_Random,BALD,Random,20,42.65
BALD_Random,BALD,Random,30,46.93
BALD_Random,BALD,Random,40,50.95
BALD_Random,BALD,Random,50,49.63
BALD_Random,BALD,Random,60,56.11
BALD_Random,BALD,Random,70,61.98
BALD_Random,BALD,Random,80,59.78
BALD_Random,BALD,Random,90,61.04
BALD_Random,BALD,Random,100,60.49
BALD_Random,BALD,Random,110,62.13
BALD_Random,BALD,Random,10,25.33
BALD_Random,BALD,Random,20,43.22
BALD_Random,BALD,Random,30,47.54
BALD_Random,BALD,Random,40,52.23
BALD_Random,BALD,Random,50,56.02
BALD_Random,BALD,Random,60,57.16
BALD_Random,BALD,Random,70,61.89
BALD_Random,BALD,Random,80,61.75
BALD_Random,BALD,Random,90,60.28
BALD_Random,BALD,Random,100,61.16
BALD_Random,BALD,Random,110,63.02
BALD_Random,BALD,Random,10,25.33
BALD_Random,BALD,Random,20,41.85
BALD_Random,BALD,Random,30,48.05
BALD_Random,BALD,Random,40,48.83
BALD_Random,BALD,Random,50,54.03
BALD_Random,BALD,Random,60,56.06
BALD_Random,BALD,Random,70,57.45
BALD_Random,BALD,Random,80,55.79
BALD_Random,BALD,Random,90,60.99
BALD_Random,BALD,Random,100,62.4
BALD_Random,BALD,Random,110,63.05
BALD_Random,BALD,Random,10,25.33
BALD_Random,BALD,Random,20,37.84
BALD_Random,BALD,Random,30,42.55
BALD_Random,BALD,Random,40,46.91
BALD_Random,BALD,Random,50,52.63
BALD_Random,BALD,Random,60,52.75
BALD_Random,BALD,Random,70,56.65
BALD_Random,BALD,Random,80,59.57
BALD_Random,BALD,Random,90,61.83
BALD_Random,BALD,Random,100,63.16
BALD_Random,BALD,Random,110,64.58
VAAL_Random,VAAL,Random,10,4.46
VAAL_Random,VAAL,Random,20,20.67
VAAL_Random,VAAL,Random,30,38.97
VAAL_Random,VAAL,Random,40,42.7
VAAL_Random,VAAL,Random,50,43.59
VAAL_Random,VAAL,Random,60,44.14
VAAL_Random,VAAL,Random,70,49.89
VAAL_Random,VAAL,Random,80,54.83
VAAL_Random,VAAL,Random,90,54.99
VAAL_Random,VAAL,Random,100,57.6
VAAL_Random,VAAL,Random,110,59.44
