Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
Coreset_BALD,Coreset,BALD,36.6,59.34,66.35,72.84,74.48,73.98,75.65,73.49,75.48,79.71,78.81
Coreset_BALD,Coreset,BALD,36.6,56.8,59.98,60.89,62.85,70.53,75.21,77.05,79.3,77.49,79.63
Coreset_BALD,Coreset,BALD,36.6,57.03,61.82,73.31,72.41,75.45,77.32,79.01,79.13,79.39,81.26
Coreset_BALD,Coreset,BALD,36.6,50.92,58.9,72.99,74.83,74.95,77.08,77.76,78.75,78.92,77.08
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,63.08,67.76,70.8,70.39,75.86,,,,,,
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,63.08,65.3,67.67,72.58,74.04,77.23,77.11,80.3,79.57,81.23,74.28
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,63.08,67.29,71.24,69.75,74.89,,,,,,
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,63.08,68.9,70.42,73.25,76.79,79.68,80.68,81.91,81.12,82.2,81.82
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,63.08,64.05,70.71,70.48,73.02,74.63,72.7,73.22,76.88,79.54,79.66
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,45.13,64.28,66.76,70.71,70.21,,,,,,
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,45.13,62.61,64.72,70.18,70.42,,,,,,
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,45.13,60.98,64.92,67.79,67.29,69.22,73.49,76.5,77.93,77.43,79.39
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,45.13,55.33,64.6,66.76,72.14,74.04,76.12,76.91,77.73,80.77,81.61
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,45.13,55.45,66.88,75.33,77.76,77.35,80.71,81.03,81.03,81.96,82.78
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,18.24,43.38,56.56,58.58,62.35,,,,,,
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,18.24,42.74,48.73,57.53,64.54,67.03,70.56,72.38,74.8,76.12,78.87
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,18.24,39.49,49.87,48.2,58.2,62.79,69.13,71.82,73.9,74.42,75.77
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,18.24,40.72,46.36,47.18,54.93,,,,,,
Consistency_Coreset,Consistency,Coreset,39.61,44.26,55.31,68.72,71.47,,,,,,
Consistency_Coreset,Consistency,Coreset,39.61,52.32,56.47,58.64,62.85,65.42,65.1,67.47,67.64,69.92,78.84
Consistency_Coreset,Consistency,Coreset,39.61,51.18,56.62,66.03,68.05,,,,,,
Consistency_Coreset,Consistency,Coreset,39.61,58.4,57.99,59.49,64.22,67.06,69.07,73.25,72.58,74.83,77.23
Consistency_Coreset,Consistency,Coreset,39.61,43.73,50.8,67.55,66.44,69.25,71.41,76.76,78.08,79.33,79.66
Entropy_Coreset,Entropy,Coreset,31.92,46.36,59.28,66.62,64.78,71.56,73.22,75.56,77.61,76.62,79.48
Entropy_Coreset,Entropy,Coreset,31.92,48.29,59.46,63.67,64.16,,,,,,
Entropy_Coreset,Entropy,Coreset,31.92,41.25,51.36,56.68,65.92,,,,,,
Entropy_Coreset,Entropy,Coreset,31.92,44.11,58.2,52.27,57.44,65.21,69.19,71.76,73.05,74.63,76.18
Entropy_Coreset,Entropy,Coreset,31.92,48.82,59.75,60.13,65.13,68.11,70.97,70.48,75.24,75.53,77.96
Margin_Coreset,Margin,Coreset,28.85,42.88,55.71,59.37,64.43,71.44,72.67,72.2,73.08,74.86,77.7
Margin_Coreset,Margin,Coreset,28.85,48.82,48.09,56.77,66.3,72.11,77.76,78.66,79.3,78.84,80.85
Margin_Coreset,Margin,Coreset,28.85,45.86,53.0,56.15,52.88,53.73,61.21,73.72,75.39,74.48,74.1
Margin_Coreset,Margin,Coreset,28.85,38.5,54.4,67.52,72.0,71.91,73.93,75.18,76.79,78.84,79.42
Margin_Coreset,Margin,Coreset,28.85,47.56,55.86,59.37,68.49,,,,,,
BALD_Coreset,BALD,Coreset,28.12,44.08,58.26,49.46,66.3,72.7,75.12,74.8,77.84,78.28,79.33
BALD_Coreset,BALD,Coreset,28.12,44.75,49.28,55.83,60.48,68.81,71.27,71.44,74.01,75.12,77.7
BALD_Coreset,BALD,Coreset,28.12,32.89,45.31,57.15,63.72,,,,,,
BALD_Coreset,BALD,Coreset,28.12,27.65,52.56,63.52,67.44,,,,,,
BALD_Coreset,BALD,Coreset,28.12,41.63,41.1,50.57,54.6,,,,,,
VAAL_Coreset,VAAL,Coreset,13.74,43.47,49.28,59.69,60.68,68.02,71.62,74.74,71.73,78.9,80.62
VAAL_Coreset,VAAL,Coreset,13.74,24.7,42.94,54.87,53.84,60.68,65.95,69.72,72.32,76.06,76.53
VAAL_Coreset,VAAL,Coreset,13.74,38.21,43.47,51.83,59.08,65.01,70.59,70.56,74.13,76.0,77.02
VAAL_Coreset,VAAL,Coreset,13.74,38.67,48.61,53.76,62.47,64.13,64.6,66.71,70.1,71.5,72.87
VAAL_Coreset,VAAL,Coreset,13.74,32.56,44.05,50.51,55.31,,,,,,
Coreset_Coreset,Coreset,Coreset,36.6,50.42,66.15,74.28,74.8,75.65,78.16,79.25,81.03,82.26,82.4
Coreset_Coreset,Coreset,Coreset,36.6,50.75,63.9,69.42,70.53,71.91,72.96,74.51,76.18,79.95,79.77
Coreset_Coreset,Coreset,Coreset,36.6,63.9,64.57,61.3,69.48,74.71,74.04,76.12,77.38,79.71,81.5
Coreset_Coreset,Coreset,Coreset,36.6,54.52,52.29,52.65,62.82,65.8,65.21,64.19,68.02,69.6,73.93
Coreset_Coreset,Coreset,Coreset,36.6,64.89,64.25,67.55,69.07,,,,,,
